Date,Product Type,Status,Total Order,Total GMV
15/01/2016,mobile,created,928,"8,169"
16/01/2016,mobile,created,339,"5,789"
17/01/2016,mobile,created,137,930
18/01/2016,mobile,created,805,755
19/01/2016,mobile,created,193,"3,113"
20/01/2016,mobile,created,495,925
21/01/2016,mobile,created,725,"3,836"
22/01/2016,mobile,created,864,"4,352"
24/01/2016,mobile,created,98,"1,085"
25/01/2016,mobile,created,437,926
26/01/2016,mobile,created,388,817
27/01/2016,mobile,created,629,"3,923"
28/01/2016,mobile,created,539,"2,482"
29/01/2016,mobile,created,654,"3,369"
30/01/2016,mobile,created,472,"5,027"
31/01/2016,mobile,created,924,"3,917"
01/02/2016,mobile,created,669,"2,395"
02/02/2016,mobile,created,339,425
03/02/2016,mobile,created,756,"1,235"
04/02/2016,mobile,created,82,238
05/02/2016,mobile,created,297,450
06/02/2016,mobile,created,631,"6,473"
09/02/2016,mobile,created,471,772
11/02/2016,mobile,created,454,595
12/02/2016,mobile,created,421,841
13/02/2016,mobile,created,219,841
15/02/2016,mobile,created,929,"8,554"
16/02/2016,mobile,created,855,"1,327"
17/02/2016,mobile,created,211,"1,378"
18/02/2016,mobile,created,573,"1,858"
19/02/2016,mobile,created,642,921
24/02/2016,mobile,created,335,404
03/03/2016,mobile,created,921,"7,470"
04/03/2016,mobile,created,432,559
11/03/2016,mobile,created,370,805
14/03/2016,mobile,created,421,"1,063"
16/03/2016,mobile,created,896,"8,965"
17/03/2016,mobile,created,475,"5,311"
18/03/2016,mobile,created,926,"2,291"
19/03/2016,mobile,created,329,833
21/03/2016,mobile,created,762,"5,499"
22/03/2016,mobile,created,760,"6,704"
23/03/2016,mobile,created,873,"2,062"
24/03/2016,mobile,created,802,"2,120"
30/03/2016,mobile,created,992,"7,479"
31/03/2016,mobile,created,395,"1,781"
01/04/2016,mobile,created,407,"1,349"
05/02/2017,mobile postpaid,created,907,"8,844"
05/02/2017,mobile postpaid,created,269,"1,592"
05/02/2017,mobile postpaid,created,934,"9,919"
05/02/2017,mobile postpaid,created,990,"3,238"
05/02/2017,mobile postpaid,created,400,"2,335"
05/02/2017,mobile postpaid,created,843,"6,545"
05/02/2017,mobile postpaid,created,922,"6,387"
05/02/2017,mobile postpaid,created,135,359
05/02/2017,mobile postpaid,created,294,770
05/02/2017,mobile postpaid,created,282,880
05/02/2017,mobile postpaid,created,902,"4,682"
05/02/2017,mobile postpaid,created,531,"4,024"
05/02/2017,mobile postpaid,created,865,"1,284"
05/02/2017,mobile postpaid,created,864,"6,583"
05/02/2017,mobile postpaid,created,181,606
05/02/2017,mobile postpaid,created,293,"2,230"
05/02/2017,mobile postpaid,created,571,"2,756"
05/02/2017,mobile postpaid,created,934,"9,864"
05/02/2017,mobile postpaid,created,368,989
05/02/2017,mobile postpaid,created,341,920
05/02/2017,mobile postpaid,created,826,"7,924"
06/02/2017,mobile postpaid,created,650,"8,043"
06/02/2017,mobile postpaid,created,452,"6,611"
06/02/2017,mobile postpaid,created,102,988
06/02/2017,mobile postpaid,created,933,"8,025"
06/02/2017,mobile postpaid,created,109,"1,267"
06/02/2017,mobile postpaid,created,293,"2,243"
06/02/2017,mobile postpaid,created,333,"4,040"
06/02/2017,mobile postpaid,created,409,"4,858"
06/02/2017,mobile postpaid,created,459,"4,441"
06/02/2017,mobile postpaid,created,817,"8,460"
06/02/2017,mobile postpaid,created,781,"12,677"
06/02/2017,mobile postpaid,created,700,"9,513"
06/02/2017,mobile postpaid,created,729,"9,118"
06/02/2017,mobile postpaid,created,807,"4,248"
06/02/2017,mobile postpaid,created,829,"3,745"
06/02/2017,mobile postpaid,created,849,"8,053"
06/02/2017,mobile postpaid,created,493,"2,873"
06/02/2017,mobile postpaid,created,487,"4,691"
06/02/2017,mobile postpaid,created,123,"1,375"
06/02/2017,mobile postpaid,created,796,"4,935"
06/02/2017,mobile postpaid,created,253,"3,982"
06/02/2017,mobile postpaid,created,492,"3,731"
06/02/2017,mobile postpaid,created,482,"6,666"
05/01/2016,multifinance,created,910,"140,088"
01/01/2016,pdam,created,85,"1,283"
04/01/2016,pdam,created,729,"12,825"
05/01/2016,pdam,created,690,"8,682"
06/01/2016,pdam,created,921,"10,981"
09/01/2016,pdam,created,598,"7,798"
12/01/2016,pdam,created,549,"7,383"
13/01/2016,pdam,created,921,"11,322"
14/01/2016,pdam,created,401,"4,728"
15/01/2016,pdam,created,983,"17,241"
25/01/2016,pdam,created,979,"10,941"
29/01/2016,pdam,created,337,"4,587"
30/01/2016,pdam,created,952,"16,891"
01/02/2016,pdam,created,345,"5,724"
02/02/2016,pdam,created,332,"5,022"
12/02/2016,pdam,created,778,"11,715"
17/03/2016,pdam,created,975,"17,240"
19/03/2016,pdam,created,675,"7,473"
24/03/2016,pdam,created,607,"8,771"
01/04/2016,pdam,created,467,"6,229"
03/02/2016,transfer,created,598,"34,842"
27/02/2016,transfer,created,507,"426,283"
28/02/2016,transfer,created,440,"723,034"
29/02/2016,transfer,created,767,"669,619"
01/01/2016,games,failed,"43,021","836,323"
02/01/2016,games,failed,"41,285","351,376"
03/01/2016,games,failed,"17,942","275,280"
04/01/2016,games,failed,"27,102","386,420"
05/01/2016,games,failed,"11,688","124,656"
06/01/2016,games,failed,"2,510","21,408"
07/01/2016,games,failed,"19,577","270,849"
08/01/2016,games,failed,"11,906","179,931"
09/01/2016,games,failed,"46,773","628,367"
10/01/2016,games,failed,"39,493","400,139"
11/01/2016,games,failed,"63,195","507,266"
12/01/2016,games,failed,"68,631","1,131,670"
13/01/2016,games,failed,"32,154","593,295"
14/01/2016,games,failed,"36,477","365,101"
15/01/2016,games,failed,"12,153","97,569"
16/01/2016,games,failed,"15,323","202,453"
17/01/2016,games,failed,"46,739","846,457"
18/01/2016,games,failed,"39,715","724,612"
19/01/2016,games,failed,"26,335","389,989"
20/01/2016,games,failed,"56,793","1,088,528"
21/01/2016,games,failed,"53,771","1,007,792"
22/01/2016,games,failed,"13,926","232,200"
23/01/2016,games,failed,"60,674","1,109,606"
24/01/2016,games,failed,"36,875","625,536"
25/01/2016,games,failed,"33,947","424,381"
26/01/2016,games,failed,"22,985","304,270"
27/01/2016,games,failed,"19,692","187,743"
28/01/2016,games,failed,"68,419","853,403"
29/01/2016,games,failed,"59,671","1,054,338"
30/01/2016,games,failed,"68,949","536,988"
31/01/2016,games,failed,"31,216","480,698"
01/02/2016,games,failed,"27,568","405,481"
02/02/2016,games,failed,"24,320","428,625"
03/02/2016,games,failed,"44,602","803,781"
04/02/2016,games,failed,"47,687","615,863"
05/02/2016,games,failed,"41,855","478,314"
06/02/2016,games,failed,"61,594","515,092"
07/02/2016,games,failed,"8,163","72,187"
08/02/2016,games,failed,"58,124","1,116,376"
09/02/2016,games,failed,"32,935","519,006"
10/02/2016,games,failed,"6,344","93,980"
11/02/2016,games,failed,"44,536","529,003"
12/02/2016,games,failed,"18,681","337,789"
13/02/2016,games,failed,"42,286","810,335"
14/02/2016,games,failed,"58,488","1,155,377"
15/02/2016,games,failed,"65,134","916,559"
16/02/2016,games,failed,"23,852","340,756"
17/02/2016,games,failed,"53,706","734,821"
18/02/2016,games,failed,"67,610","1,073,295"
19/02/2016,games,failed,"8,315","86,792"
20/02/2016,games,failed,"14,493","191,784"
21/02/2016,games,failed,"18,561","307,193"
22/02/2016,games,failed,"35,242","582,754"
23/02/2016,games,failed,"34,717","638,063"
24/02/2016,games,failed,"52,295","405,333"
25/02/2016,games,failed,"19,296","348,325"
26/02/2016,games,failed,"7,159","135,217"
27/02/2016,games,failed,"6,214","91,725"
28/02/2016,games,failed,"23,928","337,688"
29/02/2016,games,failed,"53,558","873,322"
01/03/2016,games,failed,"17,124","289,911"
02/03/2016,games,failed,"33,436","651,299"
03/03/2016,games,failed,"40,862","500,645"
04/03/2016,games,failed,"44,980","589,112"
05/03/2016,games,failed,"67,759","788,287"
06/03/2016,games,failed,"6,034","64,152"
07/03/2016,games,failed,"43,893","425,928"
08/03/2016,games,failed,"27,857","287,988"
09/03/2016,games,failed,"3,039","32,031"
10/03/2016,games,failed,"60,276","1,003,914"
11/03/2016,games,failed,"53,480","821,153"
12/03/2016,games,failed,"41,292","716,135"
13/03/2016,games,failed,"30,296","385,456"
14/03/2016,games,failed,"2,187","32,356"
15/03/2016,games,failed,"69,381","1,048,624"
16/03/2016,games,failed,"13,714","236,156"
17/03/2016,games,failed,"38,161","445,899"
18/03/2016,games,failed,"29,200","311,964"
19/03/2016,games,failed,"54,711","661,587"
20/03/2016,games,failed,"1,349","12,035"
21/03/2016,games,failed,"19,196","357,844"
22/03/2016,games,failed,"41,394","744,400"
23/03/2016,games,failed,"1,031","16,788"
24/03/2016,games,failed,"4,158","61,535"
25/03/2016,games,failed,"4,071","47,802"
26/03/2016,games,failed,"2,456","30,908"
27/03/2016,games,failed,"2,306","41,830"
28/03/2016,games,failed,"69,639","653,492"
29/03/2016,games,failed,"16,085","250,205"
30/03/2016,games,failed,"22,804","346,999"
31/03/2016,games,failed,"6,397","123,176"
01/04/2016,games,failed,"49,222","422,118"
01/01/2016,bpjs,fulfilled,"51,878","775,404"
02/01/2016,bpjs,fulfilled,"21,261","421,008"
03/01/2016,bpjs,fulfilled,"3,185","35,837"
04/01/2016,bpjs,fulfilled,"3,207","60,565"
05/01/2016,bpjs,fulfilled,"65,785","922,082"
06/01/2016,bpjs,fulfilled,"7,701","67,455"
07/01/2016,bpjs,fulfilled,"68,813","967,696"
08/01/2016,bpjs,fulfilled,"69,050","566,106"
09/01/2016,bpjs,fulfilled,"31,612","378,531"
10/01/2016,bpjs,fulfilled,"67,831","952,306"
11/01/2016,bpjs,fulfilled,"45,382","492,980"
12/01/2016,bpjs,fulfilled,"33,380","358,671"
13/01/2016,bpjs,fulfilled,"26,616","358,230"
14/01/2016,bpjs,fulfilled,"41,707","816,864"
15/01/2016,bpjs,fulfilled,"64,883","747,880"
16/01/2016,bpjs,fulfilled,"30,947","618,667"
17/01/2016,bpjs,fulfilled,"68,208","898,940"
18/01/2016,bpjs,fulfilled,"10,294","114,381"
19/01/2016,bpjs,fulfilled,"25,806","448,030"
20/01/2016,bpjs,fulfilled,"44,335","663,025"
21/01/2016,bpjs,fulfilled,"44,194","382,905"
22/01/2016,bpjs,fulfilled,"49,679","421,297"
23/01/2016,bpjs,fulfilled,"49,348","977,045"
24/01/2016,bpjs,fulfilled,"5,064","71,583"
25/01/2016,bpjs,fulfilled,"42,440","416,637"
26/01/2016,bpjs,fulfilled,"29,437","565,573"
27/01/2016,bpjs,fulfilled,"41,307","395,225"
28/01/2016,bpjs,fulfilled,"21,519","412,185"
29/01/2016,bpjs,fulfilled,"5,784","104,681"
30/01/2016,bpjs,fulfilled,"31,043","593,480"
31/01/2016,bpjs,fulfilled,"23,644","277,058"
01/02/2016,bpjs,fulfilled,"50,902","557,264"
02/02/2016,bpjs,fulfilled,"22,149","271,174"
03/02/2016,bpjs,fulfilled,"14,021","177,274"
04/02/2016,bpjs,fulfilled,"18,098","190,090"
05/02/2016,bpjs,fulfilled,"51,043","655,203"
06/02/2016,bpjs,fulfilled,"29,282","402,952"
07/02/2016,bpjs,fulfilled,"30,916","309,976"
08/02/2016,bpjs,fulfilled,"21,739","386,984"
09/02/2016,bpjs,fulfilled,"44,237","791,935"
10/02/2016,bpjs,fulfilled,"67,034","943,074"
11/02/2016,bpjs,fulfilled,"68,403","1,244,599"
12/02/2016,bpjs,fulfilled,"11,844","229,870"
13/02/2016,bpjs,fulfilled,"58,428","1,044,248"
14/02/2016,bpjs,fulfilled,"68,905","928,612"
15/02/2016,bpjs,fulfilled,"9,755","147,759"
16/02/2016,bpjs,fulfilled,"34,539","613,333"
17/02/2016,bpjs,fulfilled,"61,562","1,052,864"
18/02/2016,bpjs,fulfilled,"17,522","225,960"
19/02/2016,bpjs,fulfilled,"24,251","319,574"
20/02/2016,bpjs,fulfilled,"8,528","126,271"
21/02/2016,bpjs,fulfilled,"52,500","960,303"
22/02/2016,bpjs,fulfilled,"26,748","321,489"
23/02/2016,bpjs,fulfilled,"31,771","472,968"
24/02/2016,bpjs,fulfilled,"11,526","87,114"
25/02/2016,bpjs,fulfilled,"66,840","918,762"
26/02/2016,bpjs,fulfilled,"35,710","550,576"
27/02/2016,bpjs,fulfilled,"65,129","965,407"
28/02/2016,bpjs,fulfilled,"33,430","449,045"
29/02/2016,bpjs,fulfilled,"47,935","950,249"
01/03/2016,bpjs,fulfilled,"27,088","485,232"
02/03/2016,bpjs,fulfilled,"19,969","228,882"
03/03/2016,bpjs,fulfilled,"55,839","890,565"
04/03/2016,bpjs,fulfilled,"42,573","645,325"
05/03/2016,bpjs,fulfilled,"24,194","188,459"
06/03/2016,bpjs,fulfilled,"40,754","771,236"
07/03/2016,bpjs,fulfilled,"63,279","661,398"
08/03/2016,bpjs,fulfilled,"47,314","489,960"
09/03/2016,bpjs,fulfilled,"37,877","601,600"
10/03/2016,bpjs,fulfilled,"22,964","412,373"
11/03/2016,bpjs,fulfilled,"36,599","362,450"
12/03/2016,bpjs,fulfilled,"44,908","588,770"
13/03/2016,bpjs,fulfilled,"55,602","711,844"
14/03/2016,bpjs,fulfilled,"34,647","388,101"
15/03/2016,bpjs,fulfilled,"23,972","408,825"
16/03/2016,bpjs,fulfilled,"61,080","492,475"
17/03/2016,bpjs,fulfilled,"1,107","17,208"
18/03/2016,bpjs,fulfilled,"66,473","741,213"
19/03/2016,bpjs,fulfilled,"29,513","565,014"
20/03/2016,bpjs,fulfilled,"29,940","231,792"
21/03/2016,bpjs,fulfilled,"43,648","372,107"
22/03/2016,bpjs,fulfilled,"6,973","108,104"
23/03/2016,bpjs,fulfilled,"33,816","493,405"
24/03/2016,bpjs,fulfilled,"21,311","258,155"
25/03/2016,bpjs,fulfilled,"41,445","520,748"
26/03/2016,bpjs,fulfilled,"9,696","133,536"
27/03/2016,bpjs,fulfilled,"4,663","60,551"
28/03/2016,bpjs,fulfilled,"15,791","229,702"
29/03/2016,bpjs,fulfilled,"53,609","599,793"
30/03/2016,bpjs,fulfilled,"61,380","526,443"
31/03/2016,bpjs,fulfilled,"19,863","200,369"
01/04/2016,bpjs,fulfilled,"22,668","259,757"
01/01/2016,data,fulfilled,"60,053","552,289"
02/01/2016,data,fulfilled,"54,279","244,450"
03/01/2016,data,fulfilled,"67,538","322,629"
04/01/2016,data,fulfilled,"42,689","298,703"
05/01/2016,data,fulfilled,"7,973","32,577"
06/01/2016,data,fulfilled,"32,550","217,567"
07/01/2016,data,fulfilled,"22,132","44,841"
08/01/2016,data,fulfilled,"11,508","62,954"
09/01/2016,data,fulfilled,"67,765","570,784"
10/01/2016,data,fulfilled,"51,370","267,401"
11/01/2016,data,fulfilled,"57,157","346,822"
12/01/2016,data,fulfilled,"40,667","100,719"
13/01/2016,data,fulfilled,"10,181","69,423"
14/01/2016,data,fulfilled,"48,262","439,932"
15/01/2016,data,fulfilled,"68,313","385,114"
16/01/2016,data,fulfilled,"21,440","65,447"
17/01/2016,data,fulfilled,"39,608","242,999"
18/01/2016,data,fulfilled,"39,233","300,399"
19/01/2016,data,fulfilled,"52,306","143,689"
20/01/2016,data,fulfilled,"11,991","58,031"
21/01/2016,data,fulfilled,"7,224","56,977"
22/01/2016,data,fulfilled,"27,748","69,053"
23/01/2016,data,fulfilled,"58,873","520,513"
24/01/2016,data,fulfilled,"41,320","297,421"
25/01/2016,data,fulfilled,"49,905","191,500"
26/01/2016,data,fulfilled,"51,931","233,066"
27/01/2016,data,fulfilled,"64,816","156,018"
28/01/2016,data,fulfilled,"43,028","129,871"
29/01/2016,data,fulfilled,"49,010","302,769"
30/01/2016,data,fulfilled,"15,131","145,679"
31/01/2016,data,fulfilled,"49,962","429,123"
01/02/2016,data,fulfilled,"19,041","112,471"
02/02/2016,data,fulfilled,"64,878","214,875"
03/02/2016,data,fulfilled,"56,766","147,421"
04/02/2016,data,fulfilled,"15,954","73,075"
05/02/2016,data,fulfilled,"27,702","227,366"
06/02/2016,data,fulfilled,"40,232","204,772"
07/02/2016,data,fulfilled,"44,629","99,857"
08/02/2016,data,fulfilled,"9,202","64,838"
09/02/2016,data,fulfilled,"31,983","235,577"
10/02/2016,data,fulfilled,"47,007","350,329"
11/02/2016,data,fulfilled,"55,718","197,403"
12/02/2016,data,fulfilled,"59,629","211,694"
13/02/2016,data,fulfilled,"52,086","386,618"
14/02/2016,data,fulfilled,"67,684","392,722"
15/02/2016,data,fulfilled,"1,496","4,294"
16/02/2016,data,fulfilled,"26,702","132,116"
17/02/2016,data,fulfilled,"42,634","297,427"
18/02/2016,data,fulfilled,"63,006","441,142"
19/02/2016,data,fulfilled,"53,715","225,092"
20/02/2016,data,fulfilled,"3,786","14,828"
21/02/2016,data,fulfilled,"27,441","239,414"
22/02/2016,data,fulfilled,"23,779","89,684"
23/02/2016,data,fulfilled,"30,138","78,407"
24/02/2016,data,fulfilled,"21,369","48,949"
25/02/2016,data,fulfilled,"5,143","24,448"
26/02/2016,data,fulfilled,"34,816","81,782"
27/02/2016,data,fulfilled,"33,978","102,433"
28/02/2016,data,fulfilled,"28,409","130,013"
29/02/2016,data,fulfilled,"46,177","93,171"
01/03/2016,data,fulfilled,"64,148","168,093"
02/03/2016,data,fulfilled,"28,641","137,860"
03/03/2016,data,fulfilled,"29,846","209,348"
04/03/2016,data,fulfilled,"56,266","337,573"
05/03/2016,data,fulfilled,"50,327","379,963"
06/03/2016,data,fulfilled,"28,207","210,686"
07/03/2016,data,fulfilled,"16,706","79,707"
08/03/2016,data,fulfilled,"13,056","69,541"
09/03/2016,data,fulfilled,"25,154","140,132"
10/03/2016,data,fulfilled,"5,970","20,896"
11/03/2016,data,fulfilled,"13,178","83,406"
12/03/2016,data,fulfilled,"51,690","214,973"
13/03/2016,data,fulfilled,"68,302","663,383"
14/03/2016,data,fulfilled,"36,912","288,910"
15/03/2016,data,fulfilled,"12,839","100,910"
16/03/2016,data,fulfilled,"61,103","516,735"
17/03/2016,data,fulfilled,"4,123","10,637"
18/03/2016,data,fulfilled,"16,069","40,098"
19/03/2016,data,fulfilled,"23,543","220,117"
20/03/2016,data,fulfilled,"35,919","99,287"
21/03/2016,data,fulfilled,"39,232","114,529"
22/03/2016,data,fulfilled,"62,635","306,698"
23/03/2016,data,fulfilled,"67,661","573,345"
24/03/2016,data,fulfilled,"59,582","235,378"
25/03/2016,data,fulfilled,"53,146","283,416"
26/03/2016,data,fulfilled,"10,303","82,741"
27/03/2016,data,fulfilled,"51,116","392,775"
28/03/2016,data,fulfilled,"31,844","234,833"
29/03/2016,data,fulfilled,"11,490","112,969"
30/03/2016,data,fulfilled,"46,348","232,903"
31/03/2016,data,fulfilled,"61,068","409,735"
01/04/2016,data,fulfilled,"38,462","355,246"
01/01/2016,e-money,fulfilled,"34,382","617,146"
02/01/2016,e-money,fulfilled,"37,238","347,054"
03/01/2016,e-money,fulfilled,"8,452","128,037"
04/01/2016,e-money,fulfilled,"3,277","60,436"
05/01/2016,e-money,fulfilled,"19,660","223,754"
06/01/2016,e-money,fulfilled,"4,778","68,114"
07/01/2016,e-money,fulfilled,"37,132","323,293"
08/01/2016,e-money,fulfilled,"11,698","91,444"
09/01/2016,e-money,fulfilled,"2,435","43,733"
10/01/2016,e-money,fulfilled,"46,367","511,390"
11/01/2016,e-money,fulfilled,"47,335","795,474"
12/01/2016,e-money,fulfilled,"21,343","318,386"
13/01/2016,e-money,fulfilled,"59,336","1,022,994"
14/01/2016,e-money,fulfilled,"53,967","779,315"
15/01/2016,e-money,fulfilled,"65,839","683,678"
16/01/2016,e-money,fulfilled,"8,898","127,830"
17/01/2016,e-money,fulfilled,"27,001","236,998"
18/01/2016,e-money,fulfilled,"39,702","423,664"
19/01/2016,e-money,fulfilled,"20,700","271,629"
20/01/2016,e-money,fulfilled,"53,206","956,702"
21/01/2016,e-money,fulfilled,"50,230","396,545"
22/01/2016,e-money,fulfilled,"21,879","253,999"
23/01/2016,e-money,fulfilled,"62,583","1,180,759"
24/01/2016,e-money,fulfilled,"22,534","419,508"
25/01/2016,e-money,fulfilled,"66,307","1,121,085"
26/01/2016,e-money,fulfilled,"2,851","42,891"
27/01/2016,e-money,fulfilled,"69,337","1,248,884"
28/01/2016,e-money,fulfilled,"68,939","956,094"
29/01/2016,e-money,fulfilled,"56,906","635,179"
30/01/2016,e-money,fulfilled,"50,138","377,584"
31/01/2016,e-money,fulfilled,"14,093","121,081"
01/02/2016,e-money,fulfilled,"15,348","151,337"
